   ;Name;Addr;Reserved;Bytes;Cycles
$00;BRK;#IM;;2;
$10;BPL;REL;;2;
$20;JSR;ABS;;3;
$30;BMI;REL;;2;
$40;RTI;;;1;
$50;BVC;REL;;2;
$60;RTS;;;1;
$70;BVS;REL;;2;
$80;BRA;REL;;2;
$90;BCC;REL;;2;
$A0;LDY;#IM;;2;
$B0;BCS;REL;;2;
$C0;CPY;#IM;;2;
$D0;BNE;REL;;2;
$E0;CPX;#IM;;2;
$F0;BEQ;REL;;2;
$01;ORA;(ZP,X);;2;
$11;ORA;(ZP),Y;;2;
$21;AND;(ZP,X);;2;
$31;AND;(ZP),Y;;2;
$41;EOR;(ZP,X);;2;
$51;EOR;(ZP),Y;;2;
$61;ADC;(ZP,X);;2;
$71;ADC;(ZP),Y;;2;
$81;STA;(ZP,X);;2;
$91;STA;(ZP),Y;;2;
$A1;LDA;(ZP,X);;2;
$B1;LDA;(ZP),Y;;2;
$C1;CMP;(ZP,X);;2;
$D1;CMP;(ZP),Y;;2;
$E1;SBC;(ZP,X);;2;
$F1;SBC;(ZP),Y;;2;
$02;NOP;#IM;1;2;2
$12;ORA;(ZP);;2;
$22;NOP;#IM;1;2;2
$32;AND;(ZP);;2;
$42;NOP;#IM;1;2;2
$52;EOR;(ZP);;2;
$62;NOP;#IM;1;2;2
$72;ADC;(ZP);;2;
$82;NOP;#IM;1;2;2
$92;STA;(ZP);;2;
$A2;LDX;#IM;;2;
$B2;LDA;(ZP);;2;
$C2;NOP;#IM;1;2;2
$D2;CMP;(ZP);;2;
$E2;NOP;#IM;1;2;2
$F2;SBC;(ZP);;2;
$03;NOP;;1;1;1
$13;NOP;;1;1;1
$23;NOP;;1;1;1
$33;NOP;;1;1;1
$43;NOP;;1;1;1
$53;NOP;;1;1;1
$63;NOP;;1;1;1
$73;NOP;;1;1;1
$83;NOP;;1;1;1
$93;NOP;;1;1;1
$A3;NOP;;1;1;1
$B3;NOP;;1;1;1
$C3;NOP;;1;1;1
$D3;NOP;;1;1;1
$E3;NOP;;1;1;1
$F3;NOP;;1;1;1
$04;TSB;ZP;;2;
$14;TRB;ZP;;2;
$24;BIT;ZP;;2;
$34;BIT;ZP,X;;2;
$44;NOP;ZP;1;2;3
$54;NOP;ZP,X;1;2;4
$64;STZ;ZP;;2;
$74;STZ;ZP,X;;2;
$84;STY;ZP;;2;
$94;STY;ZP,X;;2;
$A4;LDY;ZP;;2;
$B4;LDY;ZP,X;;2;
$C4;CPY;ZP;;2;
$D4;NOP;ZP,X;1;2;4
$E4;CPX;ZP;;2;
$F4;NOP;ZP,X;1;2;4
$05;ORA;ZP;;2;
$15;ORA;ZP,X;;2;
$25;AND;ZP;;2;
$35;AND;ZP,X;;2;
$45;EOR;ZP;;2;
$55;EOR;ZP,X;;2;
$65;ADC;ZP;;2;
$75;ADC;ZP,X;;2;
$85;STA;ZP;;2;
$95;STA;ZP,X;;2;
$A5;LDA;ZP;;2;
$B5;LDA;ZP,X;;2;
$C5;CMP;ZP;;2;
$D5;CMP;ZP,X;;2;
$E5;SBC;ZP;;2;
$F5;SBC;ZP,X;;2;
$06;ASL;ZP;;2;
$16;ASL;ZP,X;;2;
$26;ROL;ZP;;2;
$36;ROL;ZP,X;;2;
$46;LSR;ZP;;2;
$56;LSR;ZP,X;;2;
$66;ROR;ZP;;2;
$76;ROR;ZP,X;;2;
$86;STX;ZP;;2;
$96;STX;ZP,Y;;2;
$A6;LDX;ZP;;2;
$B6;LDX;ZP,Y;;2;
$C6;DEC;ZP;;2;
$D6;DEC;ZP,X;;2;
$E6;INC;ZP;;2;
$F6;INC;ZP,X;;2;
$07;RMB0;ZP;;2;
$17;RMB1;ZP;;2;
$27;RMB2;ZP;;2;
$37;RMB3;ZP;;2;
$47;RMB4;ZP;;2;
$57;RMB5;ZP;;2;
$67;RMB6;ZP;;2;
$77;RMB7;ZP;;2;
$87;SMB0;ZP;;2;
$97;SMB1;ZP;;2;
$A7;SMB2;ZP;;2;
$B7;SMB3;ZP;;2;
$C7;SMB4;ZP;;2;
$D7;SMB5;ZP;;2;
$E7;SMB6;ZP;;2;
$F7;SMB7;ZP;;2;
$08;PHP;;;1;
$18;CLC;;;1;
$28;PLP;;;1;
$38;SEC;;;1;
$48;PHA;;;1;
$58;CLI;;;1;
$68;PLA;;;1;
$78;SEI;;;1;
$88;DEY;;;1;
$98;TYA;;;1;
$A8;TAY;;;1;
$B8;CLV;;;1;
$C8;INY;;;1;
$D8;CLD;;;1;
$E8;INX;;;1;
$F8;SED;;;1;
$09;ORA;#IM;;2;
$19;ORA;ABS,Y;;2;
$29;AND;#IM;;2;
$39;AND;ABS,Y;;2;
$49;EOR;#IM;;2;
$59;EOR;ABS,Y;;2;
$69;ADC;#IM;;2;
$79;ADC;ABS,Y;;2;
$89;BIT;#IM;;2;
$99;STA;ABS,Y;;2;
$A9;LDA;#IM;;2;
$B9;LDA;ABS,Y;;2;
$C9;CMP;#IM;;2;
$D9;CMP;ABS,Y;;2;
$E9;SBC;#IM;;2;
$F9;SBC;ABS,Y;;2;
$0A;ASL;;;1;
$1A;INC;;;1;
$2A;ROL;;;1;
$3A;DEC;;;1;
$4A;LSR;;;1;
$5A;PHY;;;1;
$6A;ROR;;;1;
$7A;PLY;;;1;
$8A;TXA;;;1;
$9A;TXS;;;1;
$AA;TAX;;;1;
$BA;TSX;;;1;
$CA;DEX;;;1;
$DA;PHX;;;1;
$EA;NOP;;;1;
$FA;PLX;;;1;
$0B;NOP;;1;1;1
$1B;NOP;;1;1;1
$2B;NOP;;1;1;1
$3B;NOP;;1;1;1
$4B;NOP;;1;1;1
$5B;NOP;;1;1;1
$6B;NOP;;1;1;1
$7B;NOP;;1;1;1
$8B;NOP;;1;1;1
$9B;NOP;;1;1;1
$AB;NOP;;1;1;1
$BB;NOP;;1;1;1
$CB;WAI;;;1;
$DB;STP;;;1;
$EB;NOP;;1;1;1
$FB;NOP;;1;1;1
$0C;TSB;ABS;;3;
$1C;TRB;ABS;;3;
$2C;BIT;ABS;;3;
$3C;BIT;ABS,X;;3;
$4C;JMP;ABS;;3;
$5C;NOP;#IML;1;3;8
$6C;JMP;(ABS);;3;
$7C;JMP;(ABS,X);;3;
$8C;STY;ABS;;3;
$9C;STZ;ABS;;3;
$AC;LDY;ABS;;3;
$BC;LDY;ABS,X;;3;
$CC;CPY;ABS;;3;
$DC;NOP;ABS;1;3;4
$EC;CPX;ABS;;3;
$FC;NOP;ABS;1;3;4
$0D;ORA;ABS;;3;
$1D;ORA;ABS,X;;3;
$2D;AND;ABS;;3;
$3D;AND;ABS,X;;3;
$4D;EOR;ABS;;3;
$5D;EOR;ABS,X;;3;
$6D;ADC;ABS;;3;
$7D;ADC;ABS,X;;3;
$8D;STA;ABS;;3;
$9D;STA;ABS,X;;3;
$AD;LDA;ABS;;3;
$BD;LDA;ABS,X;;3;
$CD;CMP;ABS;;3;
$DD;CMP;ABS,X;;3;
$ED;SBC;ABS;;3;
$FD;SBC;ABS,X;;3;
$0E;ASL;ABS;;3;
$1E;ASL;ABS,X;;3;
$2E;ROL;ABS;;3;
$3E;ROL;ABS,X;;3;
$4E;LSR;ABS;;3;
$5E;LSR;ABS,X;;3;
$6E;ROR;ABS;;3;
$7E;ROR;ABS,X;;3;
$8E;STX;ABS;;3;
$9E;STZ;ABS,X;;3;
$AE;LDX;ABS;;3;
$BE;LDX;ABS,Y;;3;
$CE;DEC;ABS;;3;
$DE;DEC;ABS,X;;3;
$EE;INC;ABS;;3;
$FE;INC;ABS,X;;3;
$0F;BBR0;ZP,REL;;3;
$1F;BBR1;ZP,REL;;3;
$2F;BBR2;ZP,REL;;3;
$3F;BBR3;ZP,REL;;3;
$4F;BBR4;ZP,REL;;3;
$5F;BBR5;ZP,REL;;3;
$6F;BBR6;ZP,REL;;3;
$7F;BBR7;ZP,REL;;3;
$8F;BBS0;ZP,REL;;3;
$9F;BBS1;ZP,REL;;3;
$AF;BBS2;ZP,REL;;3;
$BF;BBS3;ZP,REL;;3;
$CF;BBS4;ZP,REL;;3;
$DF;BBS5;ZP,REL;;3;
$EF;BBS6;ZP,REL;;3;
$FF;BBS7;ZP,REL;;3;
